gemeente,fractie,aantal_leden,totaal_raad,in_schepencollege,voorzitter_gemeenteraad,in_coalitie_volgens_wikipedia
Zemst,sp.a,1,27,ja,nee,ja
Zoersel,CD&V,7,27,nee,nee,nee
Zoersel,Groen,2,27,ja,nee,ja
Zoersel,Heerlijk Zoersel,3,27,nee,nee,nee
Zoersel,N-VA,11,27,ja,ja,ja
Zoersel,Onbekend,1,27,nee,nee,nee
Zoersel,Open VLD,1,27,ja,nee,ja
Zoersel,Vlaams Belang,2,27,nee,nee,nee
Zonhoven,CD&V - GROEN,4,27,nee,nee,nee
Zonhoven,N-VA,3,27,nee,nee,nee
Zonhoven,Onbekend,2,27,nee,nee,nee
Zonhoven,Open Vld,14,27,ja,ja,ja
Zonhoven,VLAAMS BELANG,2,27,nee,nee,nee
Zonhoven,ZONSHOVEN,2,27,nee,nee,nee
Zonnebeke,INSAMENSPRAAK,5,23,nee,nee,nee
Zonnebeke,Lijst Passendale,1,23,nee,nee,nee
Zonnebeke,NVA,3,23,nee,nee,nee
Zonnebeke,TEAM 8980,14,23,ja,ja,ja
Zottegem,CD&V,6,28,ja,nee,ja
Zottegem,Groen,2,28,nee,nee,nee
Zottegem,N-VA,7,28,ja,ja,ja
Zottegem,Onafhankelijk,1,28,nee,nee,nee
Zottegem,Open Vld,5,28,nee,nee,nee
Zottegem,sp.a,7,28,nee,nee,nee
Zoutleeuw,CD&V,12,19,ja,ja,ja
Zoutleeuw,N-VA,2,19,nee,nee,nee
Zoutleeuw,Onafhankelijk,1,19,nee,nee,nee
Zoutleeuw,Open VLD,2,19,nee,nee,nee
Zoutleeuw,SP.a,2,19,nee,nee,nee
Zuienkerke,Lijst Burgemeester,11,11,nee,ja,ja
Zulte,CD&V,5,24,nee,nee,nee
Zulte,GVZ,1,24,ja,nee,nee
Zulte,N-VA,1,24,ja,nee,ja
Zulte,Open Zulte,17,24,ja,ja,ja
Zutendaal,CD&V,6,20,nee,nee,nee
Zutendaal,Onbekend,2,20,nee,nee,nee
Zutendaal,ZVP,12,20,ja,nee,ja
Zwalm,CD&V+,1,19,nee,nee,ja
Zwalm,N-VA,2,19,ja,nee,ja
Zwalm,Open VLD,9,19,nee,nee,nee
Zwalm,VoorZwalm,7,19,ja,ja,ja
Zwevegem,CD&V,8,27,ja,ja,ja
Zwevegem,Groen,3,27,nee,nee,nee
Zwevegem,Lijst Burgemeester,8,27,ja,nee,ja
Zwevegem,N-VA,5,27,nee,nee,nee
Zwevegem,Zwevegem Vooruit,1,27,nee,nee,ja
Zwevegem,sp.a,2,27,ja,nee,ja
Zwijndrecht,CD&V,3,25,ja,nee,ja
Zwijndrecht,Groen,8,25,ja,nee,ja
Zwijndrecht,N-VA,9,25,nee,nee,nee
Zwijndrecht,Vlaams Belang,3,25,nee,nee,nee
Zwijndrecht,Vooruit,2,25,ja,ja,ja
